ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO;FECHA ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);23/01/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);25/03/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);06/06/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);04/07/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);31/10/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);22/11/2021;MASCULINO;ADULTOS;91001000;1
ARMA BLANCA / CORTOPUNZANTE;AMAZONAS;LETICIA (CT);13/12/2021;MASCULINO;ADOLESCENTES;91001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ABEJORRAL;21/01/2021;FEMENINO;ADULTOS;05002000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;14/02/2021;MASCULINO;ADULTOS;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;19/06/2021;MASCULINO;ADULTOS;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMAGÁ;03/10/2021;MASCULINO;ADULTOS;05030000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMALFI;12/02/2021;FEMENINO;ADOLESCENTES;05031000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;AMALFI;25/12/2021;MASCULINO;ADULTOS;05031000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;03/01/2021;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;01/02/2021;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;14/02/2021;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;28/04/2021;MASCULINO;ADULTOS;05034000;1
