ARMAS_MEDIOS;DEPARTAMENTO ;MUNICIPIO;FECHA ;GENERO;*AGRUPA_EDAD_PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;18/07/2021;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANDES;09/10/2021;MASCULINO;ADULTOS;05034000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANGOSTURA;05/06/2021;MASCULINO;ADULTOS;05038000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANORÍ;05/04/2021;MASCULINO;ADULTOS;05040000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANORÍ;12/07/2021;MASCULINO;ADULTOS;05040000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ANORÍ;16/08/2021;MASCULINO;ADULTOS;05040000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;01/01/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;24/02/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;27/03/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;16/05/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;18/05/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;28/07/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;15/08/2021;FEMENINO;ADULTOS;05045000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;19/09/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;26/10/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;29/10/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;08/11/2021;MASCULINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;06/12/2021;MASCULINO;ADOLESCENTES;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;09/12/2021;MASCULINO;ADULTOS;05045000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;APARTADÓ;14/12/2021;FEMENINO;ADULTOS;05045000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ARMENIA;31/10/2021;MASCULINO;ADULTOS;05059000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;08/02/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;11/02/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;01/03/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;28/03/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;01/04/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;06/05/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;28/06/2021;FEMENINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;13/08/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;22/08/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;02/10/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;05/10/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BARBOSA;15/10/2021;MASCULINO;ADULTOS;05079000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;02/01/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;15/01/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;01/02/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;17/02/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;21/02/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;20/03/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;12/07/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;15/07/2021;MASCULINO;ADOLESCENTES;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;31/07/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;02/08/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;29/08/2021;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;25/09/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;05/10/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;08/11/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;14/11/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;05/12/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;10/12/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;20/12/2021;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELMIRA;07/02/2021;MASCULINO;ADULTOS;05086000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;12/06/2021;MASCULINO;ADULTOS;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;11/10/2021;MASCULINO;ADULTOS;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETANIA;06/11/2021;MASCULINO;ADULTOS;05091000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETULIA;17/10/2021;MASCULINO;ADULTOS;05093000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BETULIA;14/11/2021;MASCULINO;ADULTOS;05093000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BRICEÑO;29/08/2021;MASCULINO;ADULTOS;05107000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;22/04/2021;MASCULINO;ADOLESCENTES;05113000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;29/04/2021;MASCULINO;ADULTOS;05113000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;27/05/2021;MASCULINO;ADULTOS;05113000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;29/05/2021;MASCULINO;ADULTOS;05113000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BURITICÁ;05/11/2021;MASCULINO;ADULTOS;05113000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;13/05/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;20/08/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;21/08/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;06/09/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;23/11/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CÁCERES;03/12/2021;MASCULINO;ADULTOS;05120000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;28/02/2021;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;17/07/2021;FEMENINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;19/07/2021;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;01/11/2021;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;11/12/2021;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAMPAMENTO;28/06/2021;MASCULINO;ADULTOS;05134000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAMPAMENTO;03/09/2021;MASCULINO;ADULTOS;05134000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CARACOLÍ;04/04/2021;MASCULINO;ADULTOS;05142000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CARAMANTA;28/03/2021;MASCULINO;ADULTOS;05145000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;03/05/2021;MASCULINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;23/05/2021;MASCULINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;25/12/2021;MASCULINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;03/01/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;12/02/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;22/04/2021;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;26/04/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;18/08/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;17/09/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;16/12/2021;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;18/02/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;05/06/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;25/06/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;22/07/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;13/09/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;28/12/2021;MASCULINO;ADULTOS;05172000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CISNEROS;18/10/2021;MASCULINO;ADULTOS;05190000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CONCORDIA;26/09/2021;MASCULINO;ADULTOS;05209000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CONCORDIA;29/11/2021;MASCULINO;ADULTOS;05209000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;17/03/2021;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;21/03/2021;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;27/03/2021;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;09/12/2021;FEMENINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;COPACABANA;25/12/2021;MASCULINO;ADULTOS;05212000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;07/06/2021;MASCULINO;ADULTOS;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;04/09/2021;FEMENINO;ADOLESCENTES;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;12/09/2021;MASCULINO;ADULTOS;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;DABEIBA;19/12/2021;MASCULINO;ADULTOS;05234000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;02/01/2021;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;23/03/2021;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;15/05/2021;FEMENINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;11/07/2021;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL CARMEN DE VIBORAL;18/10/2021;MASCULINO;ADULTOS;05148000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;EL SANTUARIO;22/08/2021;MASCULINO;ADULTOS;05697000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FREDONIA;16/01/2021;MASCULINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FREDONIA;06/02/2021;MASCULINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FREDONIA;22/04/2021;MASCULINO;ADULTOS;05282000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FRONTINO;07/03/2021;FEMENINO;ADULTOS;05284000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;FRONTINO;01/11/2021;MASCULINO;ADULTOS;05284000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GIRARDOTA;23/02/2021;MASCULINO;ADULTOS;05308000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GIRARDOTA;19/05/2021;MASCULINO;ADULTOS;05308000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GIRARDOTA;29/05/2021;MASCULINO;ADULTOS;05308000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GIRARDOTA;02/10/2021;MASCULINO;ADULTOS;05308000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GÓMEZ PLATA;08/05/2021;MASCULINO;ADULTOS;05310000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GÓMEZ PLATA;26/06/2021;MASCULINO;ADULTOS;05310000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GÓMEZ PLATA;31/10/2021;MASCULINO;ADULTOS;05310000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUARNE;21/11/2021;MASCULINO;ADULTOS;05318000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;GUATAPÉ;11/10/2021;MASCULINO;ADULTOS;05321000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;08/02/2021;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;15/04/2021;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;16/07/2021;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;06/08/2021;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;06/08/2021;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;27/10/2021;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;17/12/2021;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITUANGO;07/03/2021;MASCULINO;ADULTOS;05361000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITUANGO;09/03/2021;MASCULINO;ADULTOS;05361000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;JARDÍN;29/03/2021;MASCULINO;ADULTOS;05364000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;JERICÓ;28/07/2021;FEMENINO;ADULTOS;05368000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;JERICÓ;19/10/2021;MASCULINO;ADULTOS;05368000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;11/06/2021;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;24/07/2021;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;06/12/2021;MASCULINO;ADOLESCENTES;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;04/04/2021;FEMENINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;04/04/2021;MASCULINO;MENORES;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;09/04/2021;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;10/07/2021;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;29/09/2021;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;05/11/2021;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA ESTRELLA;26/12/2021;MASCULINO;ADULTOS;05380000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA PINTADA;28/08/2021;MASCULINO;ADULTOS;05390000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MACEO;28/03/2021;MASCULINO;ADULTOS;05425000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;03/07/2021;MASCULINO;ADOLESCENTES;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;21/09/2021;FEMENINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MARINILLA;10/12/2021;MASCULINO;ADULTOS;05440000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);01/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);04/01/2021;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);06/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);12/01/2021;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/01/2021;MASCULINO;ADOLESCENTES;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);17/01/2021;MASCULINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);21/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);23/01/2021;MASCULINO;ADOLESCENTES;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);28/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);29/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);31/01/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);03/02/2021;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);09/02/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/02/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);16/02/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);27/02/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);28/02/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);03/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);07/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/03/2021;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);13/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);14/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);19/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);21/03/2021;MASCULINO;ADULTOS;05001000;3
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);22/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);26/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);29/03/2021;FEMENINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);30/03/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);07/04/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);15/04/2021;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);18/04/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);20/04/2021;MASCULINO;ADULTOS;05001000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);21/04/2021;MASCULINO;ADULTOS;05001000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;MEDELLÍN (CT);23/04/2021;MASCULINO;ADULTOS;05001000;1
